Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Region,Payment Method
10001,1/1/2024,Electronics,iPhone 14 Pro,2,1000,North America,Credit Card
10002,1/2/2024,Home Appliances,Dyson V11 Vacuum,1,500,Europe,PayPal
10003,1/3/2024,Clothing,Levi's 501 Jeans,3,70,Asia,Debit Card
10004,1/4/2024,Books,The Da Vinci Code,4,16,North America,Credit Card
10005,1/5/2024,Beauty Products,Neutrogena Skincare Set,1,90,Europe,PayPal
10006,1/6/2024,Sports,Wilson Evolution Basketball,5,30,Asia,Credit Card
10007,1/7/2024,Electronics,MacBook Pro 16-inch,1,2500,North America,Credit Card
10008,1/8/2024,Home Appliances,Blueair Classic 480i,2,600,Europe,PayPal
10009,1/9/2024,Clothing,Nike Air Force 1,6,90,Asia,Debit Card
10010,1/10/2024,Books,Dune by Frank Herbert,2,26,North America,Credit Card
10011,1/11/2024,Beauty Products,Chanel No. 5 Perfume,1,130,Europe,PayPal
10012,1/12/2024,Sports,Babolat Pure Drive Tennis Racket,3,200,Asia,Credit Card
10013,1/13/2024,Electronics,Samsung Galaxy Tab S8,2,750,North America,Credit Card
10014,1/14/2024,Home Appliances,Keurig K-Elite Coffee Maker,1,190,Europe,PayPal
10015,1/15/2024,Clothing,North Face Down Jacket,2,250,Asia,Debit Card
10016,1/16/2024,Books,"Salt, Fat, Acid, Heat by Samin Nosrat",3,36,North America,Credit Card
10017,1/17/2024,Beauty Products,Dyson Supersonic Hair Dryer,1,400,Europe,PayPal
10018,1/18/2024,Sports,Manduka PRO Yoga Mat,4,120,Asia,Credit Card
10019,1/19/2024,Electronics,Garmin Forerunner 945,2,500,North America,Credit Card
10020,1/20/2024,Home Appliances,Ninja Professional Blender,1,100,Europe,PayPal
10021,1/21/2024,Clothing,Zara Summer Dress,3,60,Asia,Debit Card
10022,1/22/2024,Books,Gone Girl by Gillian Flynn,2,23,North America,Credit Card
10023,1/23/2024,Beauty Products,Olay Regenerist Face Cream,1,50,Europe,PayPal
10024,1/24/2024,Sports,Adidas FIFA World Cup Football,3,30,Asia,Credit Card
10025,1/25/2024,Electronics,Bose QuietComfort 35 Headphones,1,300,North America,Credit Card
10026,1/26/2024,Home Appliances,Panasonic NN-SN966S Microwave,1,180,Europe,PayPal
10027,1/27/2024,Clothing,Adidas Ultraboost Shoes,2,180,Asia,Debit Card
10028,1/28/2024,Books,Pride and Prejudice by Jane Austen,3,13,North America,Credit Card
10029,1/29/2024,Beauty Products,MAC Ruby Woo Lipstick,1,30,Europe,PayPal
10030,1/30/2024,Sports,Nike Air Zoom Pegasus 37,2,130,Asia,Credit Card
10031,1/31/2024,Electronics,Sony WH-1000XM4 Headphones,2,350,North America,Credit Card
10032,2/1/2024,Home Appliances,Instant Pot Duo,3,90,Europe,PayPal
10033,2/2/2024,Clothing,Under Armour HeatGear T-Shirt,5,30,Asia,Debit Card
10034,2/3/2024,Books,1984 by George Orwell,4,20,North America,Credit Card
10035,2/4/2024,Beauty Products,L'Oreal Revitalift Serum,2,40,Europe,PayPal
10036,2/5/2024,Sports,Peloton Bike,1,1895,Asia,Credit Card
10037,2/6/2024,Electronics,Apple Watch Series 8,3,400,North America,Credit Card
10038,2/7/2024,Home Appliances,Roomba i7+,2,800,Europe,PayPal
10039,2/8/2024,Clothing,Columbia Fleece Jacket,4,60,Asia,Debit Card
10040,2/9/2024,Books,Harry Potter and the Sorcerer's Stone,3,25,North America,Credit Card
10041,2/10/2024,Beauty Products,Estee Lauder Advanced Night Repair,1,105,Europe,PayPal
10042,2/11/2024,Sports,Fitbit Charge 5,2,130,Asia,Credit Card
10043,2/12/2024,Electronics,GoPro HERO10 Black,3,400,North America,Credit Card
10044,2/13/2024,Home Appliances,Nespresso VertuoPlus,1,200,Europe,PayPal
10045,2/14/2024,Clothing,Patagonia Better Sweater,2,140,Asia,Debit Card
10046,2/15/2024,Books,Becoming by Michelle Obama,4,33,North America,Credit Card
10047,2/16/2024,Beauty Products,Clinique Moisture Surge,1,52,Europe,PayPal
10048,2/17/2024,Sports,Yeti Rambler Tumbler,6,40,Asia,Credit Card
10049,2/18/2024,Electronics,Kindle Paperwhite,2,130,North America,Credit Card
